filename,type,original_path
FR_invoice_img_real_001.jpg,real,data/Images/IMG-20260507-WA0143.jpg
FR_invoice_img_real_002.jpg,real,data/Images/IMG-20260507-WA0144.jpg
FR_invoice_img_real_003.jpg,real,data/Images/IMG-20260507-WA0145.jpg
FR_invoice_img_real_004.jpg,real,data/Images/IMG-20260507-WA0146.jpg
FR_invoice_img_real_005.jpg,real,data/Images/IMG-20260507-WA0147.jpg
FR_invoice_img_real_006.jpg,real,data/Images/IMG-20260507-WA0148.jpg
FR_invoice_img_real_007.jpg,real,data/Images/IMG-20260507-WA0149.jpg
FR_invoice_img_real_008.jpg,real,data/Images/IMG-20260507-WA0150.jpg
FR_invoice_img_real_009.jpg,real,data/Images/IMG-20260507-WA0151.jpg
FR_invoice_img_real_010.jpg,real,data/Images/IMG-20260507-WA0152.jpg
FR_invoice_img_real_011.jpg,real,data/Images/IMG-20260507-WA0153.jpg
FR_invoice_img_real_012.jpg,real,data/Images/IMG-20260507-WA0154.jpg
FR_invoice_img_real_013.jpg,real,data/Images/IMG-20260507-WA0155.jpg
FR_invoice_img_real_014.jpg,real,data/Images/IMG-20260507-WA0156.jpg
FR_invoice_img_real_015.jpg,real,data/Images/IMG-20260507-WA0157.jpg
FR_invoice_img_real_016.jpg,real,data/Images/IMG-20260507-WA0158.jpg
FR_invoice_img_real_017.jpeg,real,data/Images/IMG-20260507-WA0159.jpeg
FR_invoice_img_real_018.jpeg,real,data/Images/IMG-20260507-WA0160.jpeg
FR_invoice_img_real_019.jpeg,real,data/Images/IMG-20260507-WA0161.jpeg
FR_invoice_img_real_020.jpeg,real,data/Images/IMG-20260507-WA0162.jpeg
FR_invoice_img_real_021.jpeg,real,data/Images/IMG-20260507-WA0163.jpeg
FR_invoice_img_real_022.jpeg,real,data/Images/IMG-20260507-WA0164.jpeg
FR_invoice_img_real_023.jpeg,real,data/Images/IMG-20260507-WA0165.jpeg
FR_invoice_img_real_024.jpeg,real,data/Images/IMG-20260507-WA0166.jpeg
FR_invoice_img_real_025.jpeg,real,data/Images/IMG-20260507-WA0167.jpeg
FR_invoice_img_real_026.jpeg,real,data/Images/IMG-20260507-WA0168.jpeg
FR_invoice_img_real_027.jpeg,real,data/Images/IMG-20260507-WA0169.jpeg
FR_invoice_img_real_028.jpeg,real,data/Images/IMG-20260507-WA0170.jpeg
FR_invoice_img_real_029.jpeg,real,data/Images/IMG-20260507-WA0171.jpeg
FR_invoice_img_real_030.jpeg,real,data/Images/IMG-20260507-WA0172.jpeg
FR_invoice_img_real_031.jpeg,real,data/Images/IMG-20260507-WA0174.jpeg
FR_invoice_img_synth_001.png,synthetic,generated
FR_invoice_img_synth_002.png,synthetic,generated
FR_invoice_img_synth_003.png,synthetic,generated
FR_invoice_img_synth_004.png,synthetic,generated
FR_invoice_img_synth_005.png,synthetic,generated
FR_invoice_img_synth_006.png,synthetic,generated
FR_invoice_img_synth_007.png,synthetic,generated
FR_invoice_img_synth_008.png,synthetic,generated
FR_invoice_img_synth_009.png,synthetic,generated
FR_invoice_img_synth_010.png,synthetic,generated
FR_invoice_img_synth_011.png,synthetic,generated
FR_invoice_img_synth_012.png,synthetic,generated
FR_invoice_img_synth_013.png,synthetic,generated
FR_invoice_img_synth_014.png,synthetic,generated
FR_invoice_img_synth_015.png,synthetic,generated
FR_invoice_img_synth_016.png,synthetic,generated
FR_invoice_img_synth_017.png,synthetic,generated
FR_invoice_img_synth_018.png,synthetic,generated
FR_invoice_img_synth_019.png,synthetic,generated
FR_invoice_img_synth_020.png,synthetic,generated
FR_invoice_img_synth_021.png,synthetic,generated
FR_invoice_img_synth_022.png,synthetic,generated
FR_invoice_img_synth_023.png,synthetic,generated
FR_invoice_img_synth_024.png,synthetic,generated
FR_invoice_img_synth_025.png,synthetic,generated
