filename,type,original_path
FR_invoice_real_001.pdf,real,data/Scanned_PDF/inv1.pdf
FR_invoice_real_002.pdf,real,data/Scanned_PDF/inv2.pdf
FR_invoice_real_003.pdf,real,data/Scanned_PDF/inv3.pdf
FR_invoice_real_004.pdf,real,data/Scanned_PDF/inv4.pdf
FR_invoice_real_005.pdf,real,data/Scanned_PDF/inv5.pdf
FR_invoice_real_006.pdf,real,data/Scanned_PDF/inv6.pdf
FR_invoice_real_007.pdf,real,data/Scanned_PDF/inv7.pdf
FR_invoice_real_008.pdf,real,data/Scanned_PDF/inv8.pdf
FR_invoice_real_009.pdf,real,data/Scanned_PDF/inv9.pdf
FR_invoice_real_010.pdf,real,data/Scanned_PDF/inv10.pdf
FR_invoice_real_011.pdf,real,data/Scanned_PDF/inv11.pdf
FR_invoice_real_012.pdf,real,data/Scanned_PDF/inv12.pdf
FR_invoice_real_013.pdf,real,data/Scanned_PDF/inv13.pdf
FR_invoice_real_014.pdf,real,data/Scanned_PDF/inv14.pdf
FR_invoice_real_015.pdf,real,data/Scanned_PDF/inv15.pdf
FR_invoice_real_016.pdf,real,data/Scanned_PDF/inv16.pdf
FR_invoice_real_017.pdf,real,data/Scanned_PDF/inv17.pdf
FR_invoice_real_018.pdf,real,data/Scanned_PDF/inv18.pdf
FR_invoice_real_019.pdf,real,data/Scanned_PDF/inv19.pdf
FR_invoice_real_020.pdf,real,data/Scanned_PDF/inv20.pdf
FR_invoice_real_021.pdf,real,data/Scanned_PDF/inv21.pdf
FR_invoice_real_022.pdf,real,data/Scanned_PDF/inv22.pdf
FR_invoice_real_023.pdf,real,data/Scanned_PDF/inv23.pdf
FR_invoice_real_024.pdf,real,data/Scanned_PDF/inv24.pdf
FR_invoice_real_025.pdf,real,data/Scanned_PDF/inv25.pdf
FR_invoice_real_026.pdf,real,data/Scanned_PDF/inv26.pdf
FR_invoice_real_027.pdf,real,data/Scanned_PDF/inv27.pdf
FR_invoice_real_028.pdf,real,data/Scanned_PDF/inv28.pdf
FR_invoice_real_029.pdf,real,data/Scanned_PDF/Invoice_FR_016_scanned_260508_103316.pdf
FR_invoice_real_030.pdf,real,data/Scanned_PDF/Invoice_FR_017_scanned_260508_103241.pdf
FR_invoice_real_031.pdf,real,data/Scanned_PDF/Invoice_FR_018_scanned_260508_103257.pdf
FR_invoice_real_032.pdf,real,data/Scanned_PDF/Invoice_FR_019_scanned_260508_103345.pdf
FR_invoice_real_033.pdf,real,data/Scanned_PDF/Invoice_FR_020_scanned_260508_103334.pdf
FR_invoice_real_034.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P02.pdf
FR_invoice_real_035.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P03.pdf
FR_invoice_real_036.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P11.pdf
FR_invoice_real_037.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P13.pdf
FR_invoice_real_038.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P15.pdf
FR_invoice_real_039.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P17.pdf
FR_invoice_real_040.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P21.pdf
FR_invoice_real_041.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P40.pdf
FR_invoice_real_042.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P47.pdf
FR_invoice_real_043.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P48.pdf
FR_invoice_real_044.pdf,real,data/Scanned_PDF/sourced_internet/FR_chorus_FSO1117A_P57.pdf
FR_invoice_real_045.pdf,real,data/Scanned_PDF/sourced_internet/FR_edf_facture_gaz_naturel.pdf
FR_invoice_real_046.pdf,real,data/Scanned_PDF/sourced_internet/FR_edf_facture_pro_explication.pdf
FR_invoice_real_047.pdf,real,data/Scanned_PDF/sourced_internet/FR_edf_facture_pro_inf36_garanti.pdf
FR_invoice_real_048.pdf,real,data/Scanned_PDF/sourced_internet/FR_euresto_facturation_hotel.pdf
FR_invoice_real_049.pdf,real,data/Scanned_PDF/sourced_internet/FR_facture_electricite_veillemag.pdf
FR_invoice_real_050.pdf,real,data/Scanned_PDF/sourced_internet/FR_facturx_F20220023_fournisseur_client_basicwl.pdf
FR_invoice_real_051.pdf,real,data/Scanned_PDF/sourced_internet/FR_facturx_ng_Avoir_FR_type380_BASIC.pdf
FR_invoice_real_052.pdf,real,data/Scanned_PDF/sourced_internet/FR_facturx_ng_Avoir_FR_type380_BASICWL.pdf
FR_invoice_real_053.pdf,real,data/Scanned_PDF/sourced_internet/FR_facturx_ng_Avoir_FR_type380_EN16931.pdf
FR_invoice_real_054.pdf,real,data/Scanned_PDF/sourced_internet/FR_facturx_ng_Avoir_FR_type380_MINIMUM.pdf
FR_invoice_real_055.pdf,real,data/Scanned_PDF/sourced_internet/FR_facturx_ng_Avoir_FR_type381_BASIC.pdf
FR_invoice_real_056.pdf,real,data/Scanned_PDF/sourced_internet/FR_facturx_ng_Avoir_FR_type381_BASICWL.pdf
FR_invoice_real_057.pdf,real,data/Scanned_PDF/sourced_internet/FR_facturx_ng_Avoir_FR_type381_EN16931.pdf
FR_invoice_real_058.pdf,real,data/Scanned_PDF/sourced_internet/FR_facturx_ng_Avoir_FR_type381_MINIMUM.pdf
